id,user,tweets,date,location,favorites,retweets
1263134333734473733,Baagii1234567,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:47:47,Mongolia,0,109
1263134129689817088,AOtgonbaatar,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:46:59,,0,109
1263134113399140357,Bayarsa07020804,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:46:55,,0,109
1263134049813491712,Battogtokh8,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:46:40,Mongolia,0,109
1263133308038156288,LBatkhuyag,"RT @MBBontoi: @LBatkhuyag @odbayare Найз нь 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв Хүн Электорат эвслээс дэвшиж байна. Thanks,…",2020-05-20 15:43:43,"Ulaanbaatar, Mongolia",0,1
1263133260273430534,ShinebatB,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:43:31,UB,0,109
1263133131499921408,Mendee1111,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:43:01,Mongolia,0,109
1263132898418278400,MBBontoi,"@LBatkhuyag @odbayare Найз нь 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв Хүн Электорат эвслээс дэвшиж байна. Thanks, bro!",2020-05-20 15:42:05,"Ulaanbaatar, Mongolia",2,1
1263132451234131968,Barbaatar215,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:40:18,Mongolia,0,109
1263131902858256384,hovd98,"RT @AminaMongolia: @shine_sondor Усан спортын ач тус: 
~ Хүний биеийг зөв хөгжүүлнэ. 
~ Зүрх судасны үйл ажиллагаа, нуруу нугасанд сайнаар…",2020-05-20 15:38:08,,0,109
